('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1534    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
       64    0.000    0.000    0.002    0.000 typing.py:687(Union)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      355    0.000    0.000    1.638    0.005 ssl.py:1095(read)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  217/181    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      487    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      256    0.000    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      751    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1293    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      509    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1293    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      846    0.000    0.000    0.000    0.000 element.py:2355(get)
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      174    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
  165/162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.013    0.013 packages.py:1(<module>)
      216    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      759    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      145    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      751    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      270    0.000    0.000    0.006    0.000 response.py:619(_decode)
      177    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       55    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
