('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         980119 function calls (955508 primitive calls) in 2.875 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      124    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
      123    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      123    0.000    0.000    0.000    0.000 enum.py:251(__init__)
      122    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      119    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
      113    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      112    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      112    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      107    0.000    0.000    0.004    0.000 typing.py:687(Union)
      106    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
      106    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      102    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       99    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       97    0.000    0.000    0.000    0.000 typing_extensions.py:3105(_check_generic)
       94    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       94    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
       94    0.000    0.000    0.006    0.000 dataclasses.py:449(_create_fn)
    92/91    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       92    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       92    0.000    0.000    0.000    0.000 _util.py:84(validate)
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       91    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       90    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       87    0.000    0.000    0.000    0.000 _policybase.py:209(header_max_count)
       87    0.000    0.000    0.000    0.000 _policybase.py:313(header_store_parse)
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
