('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         955271 function calls (930985 primitive calls) in 2.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
    191/3    0.000    0.000    0.493    0.164 <frozen importlib._bootstrap>:911(_load_unlocked)
      348    0.000    0.000    1.679    0.005 ssl.py:1237(recv_into)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
        1    0.000    0.000    2.643    2.643 financial.py:1(<module>)
       21    0.000    0.000    1.069    0.051 __init__.py:1(<module>)
      164    0.000    0.000    0.107    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
     1008    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      195    0.000    0.000    0.056    0.000 _parser.py:969(parse)
      141    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
    440/6    0.000    0.000    0.489    0.082 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
     1003    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      328    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      348    0.000    0.000    1.679    0.005 socket.py:693(readinto)
      975    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1441    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1739    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     2960    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    164/3    0.000    0.000    0.493    0.164 <frozen importlib._bootstrap_external>:989(exec_module)
      853    0.000    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      195    0.000    0.000    0.035    0.000 _compiler.py:573(_code)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     4134    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
  191/187    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      170    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      509    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       64    0.000    0.000    0.002    0.000 typing.py:687(Union)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      261    0.000    0.000    0.414    0.002 response.py:1368(read_chunked)
  217/181    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1488    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      348    0.000    0.000    1.678    0.005 ssl.py:1095(read)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      487    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     1293    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      751    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
