Sat Feb  7 17:53:32 2026    profile_http.prof

         415863 function calls (393293 primitive calls) in 0.492 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/entities.py:1(<module>)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    135/1    0.000    0.000    0.492    0.492 <frozen importlib._bootstrap_external>:989(exec_module)
      193    0.000    0.000    0.031    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
  991/760    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1063    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      536    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      412    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
       62    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:687(Union)
  302/277    0.000    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:392(inner)
  166/163    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      142    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:369(__init__)
       88    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
      478    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
  207/170    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
      402    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      637    0.000    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/idna/idnadata.py:1(<module>)
  142/137    0.000    0.000    0.002    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:395(freeze)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/opcode.py:1(<module>)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1295    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      555    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1104    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      206    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
      444    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      580    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      175    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
